2L	20000000	21000000	313	57
2L	20000000	21000000	513	727
2L	20000000	21000000	555	727
2L	11800000	12800000	399	392
2L	20000000	21000000	177	757
2L	20000000	21000000	855	757
2L	20000000	21000000	365	181
2L	3200000	4200000	26	359
2L	3200000	4200000	233	359
2L	10200000	11200000	399	392
2L	12700000	13700000	437	810
2L	4400000	5400000	318	378
2L	20000000	21000000	765	406
2L	3200000	4200000	398	383
2L	1600000	2600000	907	737
2L	20000000	21000000	855	177
2L	9000000	10000000	398	383
2L	12700000	13700000	801	591
2L	20000000	21000000	383	492
2L	20000000	21000000	398	492
2L	20000000	21000000	75	737
2L	20000000	21000000	437	737
2L	20000000	21000000	379	737
2L	9000000	10000000	776	555
2L	12700000	13700000	358	350
2L	20000000	21000000	399	392
2L	20600000	21600000	732	321
2L	20000000	21000000	595	392
2L	1600000	2600000	639	892
2L	1600000	2600000	712	892
2L	1600000	2600000	783	892
2L	20600000	21600000	892	40
2L	11800000	12800000	313	359
2L	3200000	4200000	642	855
2L	20000000	21000000	892	508
2L	20600000	21600000	491	375
2L	20600000	21600000	69	375
2L	11800000	12800000	882	887
2L	20000000	21000000	409	142
2L	11800000	12800000	398	383
2L	20600000	21600000	313	57
2L	20600000	21600000	727	897
2L	20600000	21600000	861	897
2L	20600000	21600000	158	897
2L	20600000	21600000	287	897
2L	20600000	21600000	890	727
2L	10200000	11200000	398	383
2L	20600000	21600000	859	727
2L	20600000	21600000	861	727
2L	20600000	21600000	158	727
2L	4400000	5400000	907	737
2L	20600000	21600000	287	727
2L	1600000	2600000	398	383
2L	3200000	4200000	796	639
2L	20000000	21000000	42	513
2L	20000000	21000000	555	513
2L	20000000	21000000	703	513
2L	20600000	21600000	177	757
2L	20600000	21600000	142	757
2L	20600000	21600000	855	757
2L	3200000	4200000	712	799
2L	20600000	21600000	365	757
2L	20600000	21600000	409	757
2L	20000000	21000000	861	887
2L	20000000	21000000	398	383
2L	9000000	10000000	712	790
2L	3200000	4200000	776	705
2L	20600000	21600000	75	406
2L	20600000	21600000	235	406
2L	20600000	21600000	765	406
2L	20600000	21600000	437	406
2L	20600000	21600000	142	177
2L	20600000	21600000	855	177
2L	20600000	21600000	365	177
2L	20600000	21600000	409	177
2L	20000000	21000000	555	42
2L	20600000	21600000	21	502
2L	20600000	21600000	761	502
2L	20600000	21600000	383	492
2L	1600000	2600000	45	707
2L	20600000	21600000	398	492
2L	20000000	21000000	437	75
2L	20000000	21000000	379	75
2L	20000000	21000000	703	555
2L	1600000	2600000	642	855
2L	1600000	2600000	832	855
2L	20000000	21000000	705	235
2L	20600000	21600000	379	737
2L	20000000	21000000	228	235
2L	20000000	21000000	810	882
2L	10200000	11200000	832	855
2L	20000000	21000000	822	707
2L	20600000	21600000	399	392
2L	4400000	5400000	26	359
2L	4400000	5400000	233	359
2L	11800000	12800000	774	765
2L	1600000	2600000	712	639
2L	10200000	11200000	774	765
2L	1600000	2600000	783	639
2L	20000000	21000000	136	790
2L	20000000	21000000	73	790
2L	20000000	21000000	783	790
2L	20000000	21000000	589	790
2L	20600000	21600000	855	142
2L	20000000	21000000	879	790
2L	4400000	5400000	398	383
2L	20600000	21600000	365	142
2L	20600000	21600000	409	142
2L	20000000	21000000	310	805
2L	20600000	21600000	374	370
